DBVPG10075	Cystobasidium_sp._DVPG_10075
R3	Cystobasidium_sp._R3
TFCN17-0-2E390-1	Rhodotorula_alborubescens_TFCN_17-0-2E390-1
TFCN17-0-2E390-2	Rhodotorula_alborubescens_TFCN_17-0-2E390-2
TFCN17-267M-1	Rhodotorula_alborubescens_TFCN_17-267M-1
TFCN17-291Y-1	Rhodotorula_alborubescens_TFCN_17-291Y-1
TFCN17-390M-1	Rhodotorula_alborubescens_TFCN_17-390M-1
TFCN17Y-278-1	Rhodotorula_alborubescens_TFCN_17Y-278-1
TFCN25-0-2E390-1	Rhodotorula_alborubescens_TFCN_25-0-2E390-1
TFCN25-395P-1	Rhodotorula_alborubescens_TFCN_25-395P-1
OM449	Rhodotorula_araucariae_NRRL_Y-17376
RBABJ	Rhodotorula_babjevae_CBS_7808
DBVPG3768	Rhodotorula_dairenensis_DBVPG_3768
DBVPG3770	Rhodotorula_dairenensis_DBVPG_3770
DBVPG3771	Rhodotorula_dairenensis_DBVPG_3771
DBVPG3773	Rhodotorula_dairenensis_DBVPG_3773
DBVPG3853	Rhodotorula_dairenensis_DBVPG_3853
OM447	Rhodotorula_dairenensis_NRRL_Y-2504
TFCN7W2923	Rhodotorula_dairenensis_TFCN_7W-292-3
OM446	Rhodotorula_diobovata_NRRL_Y-7196
TFCN211A-3	Rhodotorula_diobovata_TFCN_211A-3
TFCN212C-2	Rhodotorula_diobovata_TFCN_212C-2
RDIOB	Rhodotorula_diobovata_UCD-FST_08-225
Y7196	Rhodotorula_diobovata_Y-7196
DBVPG7922	Rhodotorula_evergladensis_DBVPG_7922
DBVPG3769	Rhodotorula_glutinis_DBVPG_3769
DBVPG3772	Rhodotorula_glutinis_DBVPG_3772
TFCN17-338D-3	Rhodotorula_glutinis_TFCN_17-338D-3
OM441	Rhodotorula_graminis_NRRL_Y-2474
TFCN1702E3294	Rhodotorula_graminis_TFCN_17-0-2E329-4
TFCN17-328C-3	Rhodotorula_graminis_TFCN_17-328C-3
TFCN17-328P-3	Rhodotorula_graminis_TFCN_17-328P-3
TFCN2502E3337	Rhodotorula_graminis_TFCN_25-0-2E333-7
TFCN25333P5	Rhodotorula_graminis_TFCN_25-333P-5
TFCN25333Y10	Rhodotorula_graminis_TFCN_25-333Y-10
TFCN25-333Y-2	Rhodotorula_graminis_TFCN_25-333Y-2
TFCN25-335C-1	Rhodotorula_graminis_TFCN_25-335C-1
TFCN25-335P-1	Rhodotorula_graminis_TFCN_25-335P-1
TFCN25-335Y-1	Rhodotorula_graminis_TFCN_25-335Y-1
RKRAT	Rhodotorula_kratochvilovae_YM25235
DBVPG3090	Rhodotorula_mucilaginosa_DBVPG_3090
DBVPG3235	Rhodotorula_mucilaginosa_DBVPG_3235
DBVPG3237	Rhodotorula_mucilaginosa_DBVPG_3237
DBVPG3238	Rhodotorula_mucilaginosa_DBVPG_3238
DBVPG3381	Rhodotorula_mucilaginosa_DBVPG_3381
DBVPG3382	Rhodotorula_mucilaginosa_DBVPG_3382
DBVPG3383	Rhodotorula_mucilaginosa_DBVPG_3383
DBVPG3384	Rhodotorula_mucilaginosa_DBVPG_3384
DBVPG3442	Rhodotorula_mucilaginosa_DBVPG_3442
DBVPG3443	Rhodotorula_mucilaginosa_DBVPG_3443
DBVPG3444	Rhodotorula_mucilaginosa_DBVPG_3444
DBVPG3774	Rhodotorula_mucilaginosa_DBVPG_3774
DBVPG3775	Rhodotorula_mucilaginosa_DBVPG_3775
DBVPG3776	Rhodotorula_mucilaginosa_DBVPG_3776
DBVPG3777	Rhodotorula_mucilaginosa_DBVPG_3777
DBVPG3778	Rhodotorula_mucilaginosa_DBVPG_3778
DBVPG3854	Rhodotorula_mucilaginosa_DBVPG_3854
DBVPG3855	Rhodotorula_mucilaginosa_DBVPG_3855
DBVPG3856	Rhodotorula_mucilaginosa_DBVPG_3856
DBVPG3857	Rhodotorula_mucilaginosa_DBVPG_3857
DBVPG3858	Rhodotorula_mucilaginosa_DBVPG_3858
DBVPG3983	Rhodotorula_mucilaginosa_DBVPG_3983
DBVPG3984	Rhodotorula_mucilaginosa_DBVPG_3984
DBVPG4201	Rhodotorula_mucilaginosa_DBVPG_4201
DBVPG4202	Rhodotorula_mucilaginosa_DBVPG_4202
DBVPG4203	Rhodotorula_mucilaginosa_DBVPG_4203
DBVPG4376	Rhodotorula_mucilaginosa_DBVPG_4376
DBVPG4377	Rhodotorula_mucilaginosa_DBVPG_4377
DBVPG4378	Rhodotorula_mucilaginosa_DBVPG_4378
DBVPG4380	Rhodotorula_mucilaginosa_DBVPG_4380
DBVPG4408	Rhodotorula_mucilaginosa_DBVPG_4408
DBVPG4466	Rhodotorula_mucilaginosa_DBVPG_4466
DBVPG4920	Rhodotorula_mucilaginosa_DBVPG_4920
DBVPG4945	Rhodotorula_mucilaginosa_DBVPG_4945
DBVPG4946	Rhodotorula_mucilaginosa_DBVPG_4946
DBVPG4947	Rhodotorula_mucilaginosa_DBVPG_4947
F61SP1A	Rhodotorula_mucilaginosa_F6_1S_P_1A
F61SP1B	Rhodotorula_mucilaginosa_F6_1S_P_1B
F61SP1C	Rhodotorula_mucilaginosa_F6_1S_P_1C
F64SB2A	Rhodotorula_mucilaginosa_F6_4S_B_2A
F64SB2B	Rhodotorula_mucilaginosa_F6_4S_B_2B
F64SB2C	Rhodotorula_mucilaginosa_F6_4S_B_2C
F64SP3B	Rhodotorula_mucilaginosa_F6_4S_P_3B
F64SP3C	Rhodotorula_mucilaginosa_F6_4S_P_3C
F64SP4A	Rhodotorula_mucilaginosa_F6_4S_P_4A
F64SP4B	Rhodotorula_mucilaginosa_F6_4S_P_4B
F64SP5A	Rhodotorula_mucilaginosa_F6_4S_P_5A
F64SP5B	Rhodotorula_mucilaginosa_F6_4S_P_5B
F66SB1A	Rhodotorula_mucilaginosa_F6_6S_B_1A
F66SB1B	Rhodotorula_mucilaginosa_F6_6S_B_1B
F66SB1C	Rhodotorula_mucilaginosa_F6_6S_B_1C
F66SP1A	Rhodotorula_mucilaginosa_F6_6S_P_1A
F66SP1B	Rhodotorula_mucilaginosa_F6_6S_P_1B
F66SP1C	Rhodotorula_mucilaginosa_F6_6S_P_1C
F66SP2A	Rhodotorula_mucilaginosa_F6_6S_P_2A
F66SP2B	Rhodotorula_mucilaginosa_F6_6S_P_2B
F67SB2A	Rhodotorula_mucilaginosa_F6_7S_B_2A
F67SB2B	Rhodotorula_mucilaginosa_F6_7S_B_2B
F67SB2C	Rhodotorula_mucilaginosa_F6_7S_B_2C
F67SP6B	Rhodotorula_mucilaginosa_F6_7S_P_6B
F67SP7A	Rhodotorula_mucilaginosa_F6_7S_P_7A
F67SP7B	Rhodotorula_mucilaginosa_F6_7S_P_7B
F67SP7C	Rhodotorula_mucilaginosa_F6_7S_P_7C
F68SB1B	Rhodotorula_mucilaginosa_F6_8S_B_1B
F68SP5A	Rhodotorula_mucilaginosa_F6_8S_P_5A
F68SP5B	Rhodotorula_mucilaginosa_F6_8S_P_5B
F68SP6A	Rhodotorula_mucilaginosa_F6_8S_P_6A
F68SP6B	Rhodotorula_mucilaginosa_F6_8S_P_6B
F81S2B	Rhodotorula_mucilaginosa_F8_1S_2B
F81S3B	Rhodotorula_mucilaginosa_F8_1S_3B
F83S1B	Rhodotorula_mucilaginosa_F8_3S_1B
F83S1P	Rhodotorula_mucilaginosa_F8_3S_1P
F83S2B	Rhodotorula_mucilaginosa_F8_3S_2B
F83S2P	Rhodotorula_mucilaginosa_F8_3S_2P
F83S3B	Rhodotorula_mucilaginosa_F8_3S_3B
F83S3P	Rhodotorula_mucilaginosa_F8_3S_3P
F84S1P	Rhodotorula_mucilaginosa_F8_4S_1P
F84S2P	Rhodotorula_mucilaginosa_F8_4S_2P
F84S5B	Rhodotorula_mucilaginosa_F8_4S_5B
F85S2B	Rhodotorula_mucilaginosa_F8_5S_2B
F85S3B	Rhodotorula_mucilaginosa_F8_5S_3B
F85S4P	Rhodotorula_mucilaginosa_F8_5S_4P
F85S5P	Rhodotorula_mucilaginosa_F8_5S_5P
F86S1B	Rhodotorula_mucilaginosa_F8_6S_1B
F86S2B	Rhodotorula_mucilaginosa_F8_6S_2B
IF1SGB1	Rhodotorula_mucilaginosa_IF1SG-B1
IF1SWB1	Rhodotorula_mucilaginosa_IF1SW-B1
IF1SWF2	Rhodotorula_mucilaginosa_IF1SW-F2
IF2SGB1	Rhodotorula_mucilaginosa_IF2SG-B1
IF3SGB1	Rhodotorula_mucilaginosa_IF3SG-B1
IF3SWF2	Rhodotorula_mucilaginosa_IF3SW-F2
IF4SWB1	Rhodotorula_mucilaginosa_IF4SW-B1
IF4SWB2	Rhodotorula_mucilaginosa_IF4SW-B2
IF4SWF2	Rhodotorula_mucilaginosa_IF4SW-F2
IF5SWF1	Rhodotorula_mucilaginosa_IF5SW-F1
IF6SGB1	Rhodotorula_mucilaginosa_IF6SG-B1
IF6SWB2	Rhodotorula_mucilaginosa_IF6SW-B2
IF6SWF1	Rhodotorula_mucilaginosa_IF6SW-F1
IF7SGB1	Rhodotorula_mucilaginosa_IF7SG-B1
IF7SWB3	Rhodotorula_mucilaginosa_IF7SW-B3
IF8SGB1	Rhodotorula_mucilaginosa_IF8SG-B1
IF8SWB2	Rhodotorula_mucilaginosa_IF8SW-B2
IF8SWP2	Rhodotorula_mucilaginosa_IF8SW-P2
IFCSGB1	Rhodotorula_mucilaginosa_IFCSG-B1
IIF1SWF1	Rhodotorula_mucilaginosa_IIF1SW-F1
IIF2SWF1	Rhodotorula_mucilaginosa_IIF2SW-F1
IIF2XSWB1	Rhodotorula_mucilaginosa_IIF2XSW-B1
IIF2XSWF1	Rhodotorula_mucilaginosa_IIF2XSW-F1
IIF4SWF1	Rhodotorula_mucilaginosa_IIF4SW-F1
IIF5SWF2	Rhodotorula_mucilaginosa_IIF5SW-F2
IIF6SWB1	Rhodotorula_mucilaginosa_IIF6SW-B1
IIF6SWB2	Rhodotorula_mucilaginosa_IIF6SW-B2
IIF6SWF1	Rhodotorula_mucilaginosa_IIF6SW-F1
IIF8SWB2	Rhodotorula_mucilaginosa_IIF8SW-B2
IIF8SWB3	Rhodotorula_mucilaginosa_IIF8SW-B3
IIF8SWF1	Rhodotorula_mucilaginosa_IIF8SW-F1
IIFCSWF1	Rhodotorula_mucilaginosa_IIFCSW-F1
RMUCI	Rhodotorula_mucilaginosa_JY1105
OM429	Rhodotorula_mucilaginosa_NRRL_Y-2510
rhodo3571	Rhodotorula_mucilaginosa_rhodo3571
RIT389	Rhodotorula_mucilaginosa_RIT389
SB353	Rhodotorula_mucilaginosa_SB-353
TFCN100D1	Rhodotorula_mucilaginosa_TFCN_100D-1
TFCN102C1	Rhodotorula_mucilaginosa_TFCN_102C-1
TFCN102D1	Rhodotorula_mucilaginosa_TFCN_102D-1
TFCN102D2	Rhodotorula_mucilaginosa_TFCN_102D-2
TFCN105A2	Rhodotorula_mucilaginosa_TFCN_105A-2
TFCN106A1	Rhodotorula_mucilaginosa_TFCN_106A-1
TFCN107A6	Rhodotorula_mucilaginosa_TFCN_107A-6
TFCN107C3	Rhodotorula_mucilaginosa_TFCN_107C-3
TFCN110C-1	Rhodotorula_mucilaginosa_TFCN_110C-1
TFCN118C-2	Rhodotorula_mucilaginosa_TFCN_118C-2
TFCN122C2	Rhodotorula_mucilaginosa_TFCN_122C-2
TFCN130D4	Rhodotorula_mucilaginosa_TFCN_130D-4
TFCN134A3	Rhodotorula_mucilaginosa_TFCN_134A-3
TFCN137C3	Rhodotorula_mucilaginosa_TFCN_137C-3
TFCN137D4	Rhodotorula_mucilaginosa_TFCN_137D-4
TFCN138A1	Rhodotorula_mucilaginosa_TFCN_138A-1
TFCN140A3	Rhodotorula_mucilaginosa_TFCN_140A-3
TFCN141C2	Rhodotorula_mucilaginosa_TFCN_141C-2
TFCN17-0-2E334-10	Rhodotorula_mucilaginosa_TFCN_17-0-2E334-10
TFCN17-0-2E334-4	Rhodotorula_mucilaginosa_TFCN_17-0-2E334-4
TFCN172A1	Rhodotorula_mucilaginosa_TFCN_172A-1
TFCN17325D4	Rhodotorula_mucilaginosa_TFCN_17-325D-4
TFCN17329Y4	Rhodotorula_mucilaginosa_TFCN_17-329Y-4
TFCN17332C1	Rhodotorula_mucilaginosa_TFCN_17-332C-1
TFCN17332C2	Rhodotorula_mucilaginosa_TFCN_17-332C-2
TFCN17-332D-1	Rhodotorula_mucilaginosa_TFCN_17-332D-1
TFCN17332M1	Rhodotorula_mucilaginosa_TFCN_17-332M-1
TFCN17-332M-2	Rhodotorula_mucilaginosa_TFCN_17-332M-2
TFCN17-332P-1	Rhodotorula_mucilaginosa_TFCN_17-332P-1
TFCN17332P2	Rhodotorula_mucilaginosa_TFCN_17-332P-2
TFCN17333D2	Rhodotorula_mucilaginosa_TFCN_17-333D-2
TFCN17334C1	Rhodotorula_mucilaginosa_TFCN_17-334C-1
TFCN17334P3	Rhodotorula_mucilaginosa_TFCN_17-334P-3
TFCN17-334Y-2	Rhodotorula_mucilaginosa_TFCN_17-334Y-2
TFCN17-334Y-3	Rhodotorula_mucilaginosa_TFCN_17-334Y-3
TFCN17-334Y-5	Rhodotorula_mucilaginosa_TFCN_17-334Y-5
TFCN17-337P-5	Rhodotorula_mucilaginosa_TFCN_17-337P-5
TFCN181A-1	Rhodotorula_mucilaginosa_TFCN_181A-1
TFCN186DK32	Rhodotorula_mucilaginosa_TFCN_186DK3-2
TFCN1A14	Rhodotorula_mucilaginosa_TFCN_1A-14
TFCN209611	Rhodotorula_mucilaginosa_TFCN_209-6-11
TFCN209612	Rhodotorula_mucilaginosa_TFCN_209-6-12
TFCN209614	Rhodotorula_mucilaginosa_TFCN_209-6-14
TFCN209-6-17	Rhodotorula_mucilaginosa_TFCN_209-6-17
TFCN20961	Rhodotorula_mucilaginosa_TFCN_209-6-1
TFCN209-6-2	Rhodotorula_mucilaginosa_TFCN_209-6-2
TFCN209-6-4	Rhodotorula_mucilaginosa_TFCN_209-6-4
TFCN209-6-5	Rhodotorula_mucilaginosa_TFCN_209-6-5
TFCN22C-4	Rhodotorula_mucilaginosa_TFCN_22C-4
TFCN25-0-2E332-1	Rhodotorula_mucilaginosa_TFCN_25-0-2E332-1
TFCN25-0-2E333-1	Rhodotorula_mucilaginosa_TFCN_25-0-2E333-1
TFCN2502E3335	Rhodotorula_mucilaginosa_TFCN_25-0-2E333-5
TFCN2502E3339	Rhodotorula_mucilaginosa_TFCN_25-0-2E333-9
TFCN25-325Y-1	Rhodotorula_mucilaginosa_TFCN_25-325Y-1
TFCN25-327D-1	Rhodotorula_mucilaginosa_TFCN_25-327D-1
TFCN25-331D-1	Rhodotorula_mucilaginosa_TFCN_25-331D-1
TFCN25-332C-1	Rhodotorula_mucilaginosa_TFCN_25-332C-1
TFCN25-332D-1	Rhodotorula_mucilaginosa_TFCN_25-332D-1
TFCN25-332M-1	Rhodotorula_mucilaginosa_TFCN_25-332M-1
TFCN25332P2	Rhodotorula_mucilaginosa_TFCN_25-332P-2
TFCN25332Y1	Rhodotorula_mucilaginosa_TFCN_25-332Y-1
TFCN25-333C-2	Rhodotorula_mucilaginosa_TFCN_25-333C-2
TFCN25333P2	Rhodotorula_mucilaginosa_TFCN_25-333P-2
TFCN25-333Y-9	Rhodotorula_mucilaginosa_TFCN_25-333Y-9
TFCN25334D3	Rhodotorula_mucilaginosa_TFCN_25-334D-3
TFCN25334Y6	Rhodotorula_mucilaginosa_TFCN_25-334Y-6
TFCN25337M3	Rhodotorula_mucilaginosa_TFCN_25-337M-3
TFCN25-337Y-1	Rhodotorula_mucilaginosa_TFCN_25-337Y-1
TFCN270H2	Rhodotorula_mucilaginosa_TFCN_270H-2
TFCN273H-1	Rhodotorula_mucilaginosa_TFCN_273H-1
TFCN2M14	Rhodotorula_mucilaginosa_TFCN_2M-1-4
TFCN33A4	Rhodotorula_mucilaginosa_TFCN_33A-4
TFCN340-1	Rhodotorula_mucilaginosa_TFCN_340-1
TFCN3403	Rhodotorula_mucilaginosa_TFCN_340-3
TFCN3M-1-1	Rhodotorula_mucilaginosa_TFCN_3M-1-1
TFCN4M-1-3	Rhodotorula_mucilaginosa_TFCN_4M-1-3
TFCN4M14	Rhodotorula_mucilaginosa_TFCN_4M-1-4
TFCN4M-1-5	Rhodotorula_mucilaginosa_TFCN_4M-1-5
TFCN89D3	Rhodotorula_mucilaginosa_TFCN_89D-3
TFCN98A-10	Rhodotorula_mucilaginosa_TFCN_98A-10
TFCN98C3	Rhodotorula_mucilaginosa_TFCN_98C-3
TFCN98C-5	Rhodotorula_mucilaginosa_TFCN_98C-5
TFCN98C7	Rhodotorula_mucilaginosa_TFCN_98C-7
TFCN98C-8	Rhodotorula_mucilaginosa_TFCN_98C-8
TFCN98D11	Rhodotorula_mucilaginosa_TFCN_98D-11
TFCN98D-7	Rhodotorula_mucilaginosa_TFCN_98D-7
TFCN98D9	Rhodotorula_mucilaginosa_TFCN_98D-9
VSABIIKN2	Rhodotorula_mucilaginosa_VS_AB_II_KN_2
Y2510	Rhodotorula_mucilaginosa_Y-2510
TFCN1A-1-3	Rhodotorula_pacifica_TFCN_1A-1-3
RPALUD	Rhodotorula_paludigena_CM33
DBVPG4610	Rhodotorula_paludigena_DBVPG_4610
OM448	Rhodotorula_paludigena_NRRL_Y-12923
TFCN1A-1-2	Rhodotorula_paludigena_TFCN_1A-1-2
TFCN342-2	Rhodotorula_paludigena_TFCN_342-2
TFCN3423	Rhodotorula_paludigena_TFCN_342-3
TFCN43A-4	Rhodotorula_paludigena_TFCN_43A-4
TFCN48A-15	Rhodotorula_paludigena_TFCN_48A-15
TFCN48A-3	Rhodotorula_paludigena_TFCN_48A-3
TFCN48D-10	Rhodotorula_paludigena_TFCN_48D-10
TFCN49A-1	Rhodotorula_paludigena_TFCN_49A-1
Y12923	Rhodotorula_paludigena_Y-12923
TFCN43A022	Rhodotorula_paludigenum_TFCN_43A-0-22
TFCN48A10	Rhodotorula_paludigenum_TFCN_48A-10
TFCN48A2	Rhodotorula_paludigenum_TFCN_48A-2
TFCN48C3	Rhodotorula_paludigenum_TFCN_48C-3
TFCN48D4	Rhodotorula_paludigenum_TFCN_48D-4
RSPCC01	Rhodotorula_sp._CC01
RSPCCFEE5036	Rhodotorula_sp._CCFEE_5036_gbk
CCFEE5036	Rhodotorula_sp._CCFEE_5036
DBVPG10075.Ill	Rhodotorula_sp._DBVPG_10075
DBVPG7947	Rhodotorula_sp._DBVPG_7947
RSPFNED722	Rhodotorula_sp._FNED7-22
RSPHA	Rhodotorula_sphaerocarpa_GDMCC_60679
OM440	Rhodotorula_sphaerocarpa_NRRL_Y-7192
TFCN152A12	Rhodotorula_sphaerocarpa_TFCN_152A-12
TFCN152A-2	Rhodotorula_sphaerocarpa_TFCN_152A-2
TFCN21362	Rhodotorula_sphaerocarpa_TFCN_213-6-2
TFCN213-6-4	Rhodotorula_sphaerocarpa_TFCN_213-6-4
TFCN54D-1	Rhodotorula_sphaerocarpa_TFCN_54D-1
TFCN83C-1	Rhodotorula_sphaerocarpa_TFCN_83C-1
TFCN86A12	Rhodotorula_sphaerocarpa_TFCN_86A-12
TFCN86A-3	Rhodotorula_sphaerocarpa_TFCN_86A-3
TFCN86A6	Rhodotorula_sphaerocarpa_TFCN_86A-6
TFCN86A-8	Rhodotorula_sphaerocarpa_TFCN_86A-8
TFCN86C-10	Rhodotorula_sphaerocarpa_TFCN_86C-10
TFCN86C-9	Rhodotorula_sphaerocarpa_TFCN_86C-9
RSPJG1B	Rhodotorula_sp._JG-1b
M305A2	Rhodotorula_sp._M30-05A-2
RSP3009	Rhodotorula_sp._S30-09
RSPVS67	Rhodotorula_sp._VS67
RTAIW	Rhodotorula_taiwanensis_MD1149
TFCN0520422	Rhodotorula_taiwanensis_TFCN_0520-4-2-2
TFCN357-1	Rhodotorula_taiwanensis_TFCN_357-1
TFCN36312	Rhodotorula_taiwanensis_TFCN_363-1-2
RTORUL	Rhodotorula_toruloides_NP11
TFCN152A-1	Rhodotorula_toruloides_TFCN_152A-1
TFCN152A-4	Rhodotorula_toruloides_TFCN_152A-4
TFCN152A5	Rhodotorula_toruloides_TFCN_152A-5
TFCN152A-6	Rhodotorula_toruloides_TFCN_152A-6
TFCN152C-3	Rhodotorula_toruloides_TFCN_152C-3
TFCN152C5	Rhodotorula_toruloides_TFCN_152C-5
TFCN152C-6	Rhodotorula_toruloides_TFCN_152C-6
TFCN152D4	Rhodotorula_toruloides_TFCN_152D-4
TFCN152D-6	Rhodotorula_toruloides_TFCN_152D-6
SROSSR19	Sporobolomyces_roseus_SR19
SROSY8	Sporobolomyces_roseus_Y8
